Filename:	TEST
Operator ID:	 
Sample ID:	HMm-1130 
Comment: 	 
Serial Number:	002042001 
Data Collected:	06.12.2019 12:19:21 
Sample Weight:	12.492 mg 
Display Weight:	12.492 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	TEST
Date/Time:	 
Initial Conditions 
Temperature:	 50.00 �C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1155 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00�C 
 
2)	Heat from 50.00�C to 700.00�C at 40.00�C/min 
 
3)	Hold for 2.0 min at 700.00�C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	3.083333	12.325758	0.000000	133.333333	85.340000	19.800000	0.000000 
	3.100000	12.324270	0.000000	134.000000	85.860000	19.800000	0.000000 
	3.116667	12.321295	0.000000	134.666667	86.390000	19.800000	0.000000 
	3.133333	12.319595	0.000000	135.333333	86.910000	19.800000	0.000000 
	3.150000	12.317471	0.000000	136.000000	87.440000	19.800000	0.000000 
	3.166667	12.315346	0.000000	136.666667	87.970000	19.800000	0.000000 
	3.183333	12.313008	0.000000	137.333333	88.510000	19.800000	0.000000 
	3.200000	12.310459	0.000000	138.000000	89.040000	19.800000	0.000000 
	3.216667	12.307909	0.000000	138.666667	89.580000	19.800000	0.000000 
	3.233333	12.305996	0.000000	139.333333	90.120000	19.800000	0.000000 
	3.250000	12.303872	0.000000	140.000000	90.670000	19.800000	0.000000 
	3.266667	12.301534	0.000000	140.666667	91.210000	19.800000	0.000000 
	3.283333	12.298559	0.000000	141.333333	91.760000	19.800000	0.000000 
	3.300000	12.296222	0.000000	142.000000	92.310000	19.800000	0.000000 
	3.316667	12.293672	0.000000	142.666667	92.860000	19.800000	0.000000 
	3.333333	12.291972	0.000000	143.333333	93.410000	19.800000	0.000000 
	3.350000	12.289210	0.000000	144.000000	93.970000	19.800000	0.000000 
	3.366667	12.286660	0.000000	144.666667	94.520000	19.800000	0.000000 
	3.383333	12.283685	0.000000	145.333333	95.080000	19.800000	0.000000 
	3.400000	12.279861	0.000000	146.000000	95.640000	19.800000	0.000000 
	3.416667	12.277948	0.000000	146.666667	96.200000	19.800000	0.000000 
	3.433333	12.275823	0.000000	147.333333	96.770000	19.800000	0.000000 
	3.450000	12.273061	0.000000	148.000000	97.340000	19.800000	0.000000 
	3.466667	12.270086	0.000000	148.666667	97.900000	19.800000	0.000000 
	3.483333	12.267324	0.000000	149.333333	98.470000	19.800000	0.000000 
	3.500000	12.263924	0.000000	150.000000	99.040000	19.800000	0.000000 
	3.516667	12.261799	0.000000	150.666667	99.620000	19.800000	0.000000 
	3.533333	12.259250	0.000000	151.333333	100.190000	19.800000	0.000000 
	3.550000	12.256700	0.000000	152.000000	100.770000	19.800000	0.000000 
	3.566667	12.253300	0.000000	152.666667	101.350000	19.800000	0.000000 
	3.583333	12.250113	0.000000	153.333333	101.930000	19.800000	0.000000 
	3.600000	12.247138	0.000000	154.000000	102.510000	19.800000	0.000000 
	3.616667	12.245013	0.000000	154.666667	103.090000	19.800000	0.000000 
	3.633333	12.240976	0.000000	155.333333	103.670000	19.800000	0.000000 
	3.650000	12.237364	0.000000	156.000000	104.250000	19.800000	0.000000 
	3.666667	12.235239	0.000000	156.666667	104.830000	19.800000	0.000000 
	3.683333	12.231839	0.000000	157.333333	105.410000	19.800000	0.000000 
	3.700000	12.229502	0.000000	158.000000	106.000000	19.800000	0.000000 
	3.716667	12.226739	0.000000	158.666667	106.590000	19.800000	0.000000 
	3.733333	12.223340	0.000000	159.333333	107.180000	19.800000	0.000000 
	3.750000	12.219302	0.000000	160.000000	107.790000	19.800000	0.000000 
	3.766667	12.215903	0.000000	160.666667	108.390000	19.800000	0.000000 
	3.783333	12.212078	0.000000	161.333333	109.000000	19.800000	0.000000 
	3.800000	12.209103	0.000000	162.000000	109.610000	19.800000	0.000000 
	3.816667	12.205703	0.000000	162.666667	110.210000	19.800000	0.000000 
	3.833333	12.200816	0.000000	163.333333	110.820000	19.800000	0.000000 
	3.850000	12.198691	0.000000	164.000000	111.430000	19.800000	0.000000 
	3.866667	12.194441	0.000000	164.666667	112.040000	19.800000	0.000000 
	3.883333	12.191254	0.000000	165.333333	112.650000	19.800000	0.000000 
	3.900000	12.187854	0.000000	166.000000	113.250000	19.800000	0.000000 
	3.916667	12.184030	0.000000	166.666667	113.860000	19.800000	0.000000 
	3.933333	12.180205	0.000000	167.333333	114.470000	19.800000	0.000000 
	3.950000	12.176593	0.000000	168.000000	115.080000	19.800000	0.000000 
	3.966667	12.172768	0.000000	168.666667	115.690000	19.800000	0.000000 
	3.983333	12.169156	0.000000	169.333333	116.300000	19.800000	0.000000 
	4.000000	12.165118	0.000000	170.000000	116.910000	19.800000	0.000000 
	4.016667	12.160869	0.000000	170.666667	117.530000	19.800000	0.000000 
	4.033333	12.157681	0.000000	171.333333	118.150000	19.800000	0.000000 
	4.050000	12.153857	0.000000	172.000000	118.770000	19.800000	0.000000 
	4.066667	12.150457	0.000000	172.666667	119.390000	19.800000	0.000000 
	4.083333	12.147057	0.000000	173.333333	120.010000	19.800000	0.000000 
	4.100000	12.143020	0.000000	174.000000	120.630000	19.800000	0.000000 
	4.116667	12.137708	0.000000	174.666667	121.260000	19.800000	0.000000 
	4.133333	12.134946	0.000000	175.333333	121.890000	19.800000	0.000000 
	4.150000	12.130908	0.000000	176.000000	122.510000	19.800000	0.000000 
	4.166667	12.126659	0.000000	176.666667	123.140000	19.800000	0.000000 
	4.183333	12.123046	0.000000	177.333333	123.770000	19.800000	0.000000 
	4.200000	12.119434	0.000000	178.000000	124.400000	19.800000	0.000000 
	4.216667	12.114972	0.000000	178.666667	125.030000	19.800000	0.000000 
	4.233333	12.111360	0.000000	179.333333	125.670000	19.800000	0.000000 
	4.250000	12.106685	0.000000	180.000000	126.300000	19.800000	0.000000 
	4.266667	12.102435	0.000000	180.666667	126.940000	19.800000	0.000000 
	4.283333	12.098186	0.000000	181.333333	127.580000	19.800000	0.000000 
	4.300000	12.093936	0.000000	182.000000	128.220000	19.800000	0.000000 
	4.316667	12.089474	0.000000	182.666667	128.860000	19.800000	0.000000 
	4.333333	12.085649	0.000000	183.333333	129.500000	19.800000	0.000000 
	4.350000	12.080974	0.000000	184.000000	130.140000	19.800000	0.000000 
	4.366667	12.076937	0.000000	184.666667	130.790000	19.800000	0.000000 
	4.383333	12.072900	0.000000	185.333333	131.430000	19.800000	0.000000 
